,Date,User,IsVerified,Tweet
139,2022-03-04 03:54:37+00:00,PragatiSpeaks,False,"RT @PAPA__Tweets: In the name of High LEVEL Meeting, Narendra Modi is Busy in Photoshoot and Fooling the NATION.

https://t.co/lzwOFKpjhL h…"
140,2022-03-04 03:54:35+00:00,ChikenTandoori,False,"RT @zoo_bear: ""Just like a parent takes care of his children, in the same way the Prime Minister of India, Modi ji, like a father, is conce…"
141,2022-03-04 03:54:33+00:00,Zakip007,False,"RT @PAPA__Tweets: In the name of High LEVEL Meeting, Narendra Modi is Busy in Photoshoot and Fooling the NATION.

https://t.co/lzwOFKpjhL h…"
142,2022-03-04 03:54:32+00:00,M_Anantkumar,False,"RT @PAPA__Tweets: In the name of High LEVEL Meeting, Narendra Modi is Busy in Photoshoot and Fooling the NATION.

https://t.co/lzwOFKpjhL h…"
143,2022-03-04 03:54:31+00:00,abhicoolpal,False,"RT @PAPA__Tweets: In the name of High LEVEL Meeting, Narendra Modi is Busy in Photoshoot and Fooling the NATION.

https://t.co/lzwOFKpjhL h…"
144,2022-03-04 03:54:14+00:00,ManishN34916795,False,RT @IndiaHistorypic: 1993-94 :: Narendra Modi Smiling and Having a Cup of Tea https://t.co/9nsXbtNMdI
145,2022-03-04 03:54:12+00:00,edwardatport,False,"Narendra Modi may be a Putin appeaser, but he's OUR Putin appeaser via @crikey_news https://t.co/TD0M5HZ75M"
146,2022-03-04 03:53:56+00:00,intellect_ind,False,"RT @PAPA__Tweets: In the name of High LEVEL Meeting, Narendra Modi is Busy in Photoshoot and Fooling the NATION.

https://t.co/lzwOFKpjhL h…"
147,2022-03-04 03:53:56+00:00,somalthakore,False,"RT @PAPA__Tweets: In the name of High LEVEL Meeting, Narendra Modi is Busy in Photoshoot and Fooling the NATION.

https://t.co/lzwOFKpjhL h…"
148,2022-03-04 03:53:54+00:00,gpzadafia,False,"RT @Live_Hindustan: जब हमारे बच्चे युद्ध के बीच से घर लौट रहे हैं, तो उनकी खुशी उनके चेहरों पर साफ देखी जा सकती है। उनके परिजनों में भी राह…"
149,2022-03-04 03:53:49+00:00,ArvindSaini_INC,False,"RT @PAPA__Tweets: In the name of High LEVEL Meeting, Narendra Modi is Busy in Photoshoot and Fooling the NATION.

https://t.co/lzwOFKpjhL h…"
150,2022-03-04 03:53:49+00:00,srmoquim,False,"RT @yippeekiyay_dk: Good morning

Daily reminder : Sanghis are NOT Hindus. Narendra Modi is NOT India.

And Indian news anchors are NOT jou…"
151,2022-03-04 03:53:39+00:00,_rasukutty,False,"RT @PAPA__Tweets: In the name of High LEVEL Meeting, Narendra Modi is Busy in Photoshoot and Fooling the NATION.

https://t.co/lzwOFKpjhL h…"
152,2022-03-04 03:53:35+00:00,Goldstandardin2,False,"RT @PAPA__Tweets: In the name of High LEVEL Meeting, Narendra Modi is Busy in Photoshoot and Fooling the NATION.

https://t.co/lzwOFKpjhL h…"
153,2022-03-04 03:53:23+00:00,gahlotshagufta,False,"RT @INCGhogha: I am ashamed that my PM is Narendra Modi.

#BesharmPracharMantri https://t.co/hPDjaUo4CX"
154,2022-03-04 03:53:21+00:00,Johnny31550446,False,"RT @MadhavBJP: Prime Minister Mr. Narendra Modi launched Pradhan Mantri Van Dhan Vikas Yojana (PMVDVY), a component of the ‘MSP for MFP’ sc…"
155,2022-03-04 03:53:19+00:00,vishalrajmehta6,False,"RT @PAPA__Tweets: In the name of High LEVEL Meeting, Narendra Modi is Busy in Photoshoot and Fooling the NATION.

https://t.co/lzwOFKpjhL h…"
156,2022-03-04 03:52:55+00:00,HussainNooree,False,"RT @PAPA__Tweets: In the name of High LEVEL Meeting, Narendra Modi is Busy in Photoshoot and Fooling the NATION.

https://t.co/lzwOFKpjhL h…"
157,2022-03-04 03:52:55+00:00,Surendernaruka7,False,"RT @BJP4Delhi: ''हम युद्ध के इस संकट में फंसे सभी भारतवासियों को स्वदेश वापस लाने के लिए दिन रात काम कर रहे हैं।

हम यह सुनिश्चित करने में…"
158,2022-03-04 03:52:43+00:00,mushi_nova,False,"RT @PAPA__Tweets: In the name of High LEVEL Meeting, Narendra Modi is Busy in Photoshoot and Fooling the NATION.

https://t.co/lzwOFKpjhL h…"
159,2022-03-04 03:52:35+00:00,srikantasingh,False,"RT @PAPA__Tweets: In the name of High LEVEL Meeting, Narendra Modi is Busy in Photoshoot and Fooling the NATION.

https://t.co/lzwOFKpjhL h…"
160,2022-03-04 03:52:32+00:00,Candolime,False,"RT @AishwaryVerma9: Bharat Mata ki Jai hai aur shan se bolenge lekin jabardasti
Narendra Modi zindabad nahi bolenge...
https://t.co/FdPaJwf…"
161,2022-03-04 03:52:25+00:00,SavitaC67504238,False,देश के यशस्वी प्रधानमंत्री नरेंद्र मोदी जी द्वारा संचालित ऑपरेशन गंगा के तहत यूक्रेन से लौटे  छात्रों से पीएम मोदी… https://t.co/MmcbDE4so6
162,2022-03-04 03:52:24+00:00,PAREEKGAURAV02,False,RT @ANI: The GoI is trying to bring each and every citizen back to India. We welcome all the students who have arrived. I also want to than…
163,2022-03-04 03:52:16+00:00,gunjan727,False,"RT @thakkar_sameet: Which UN, USA, UK, EU, CHINA Can't.....

HE NARENDRA DAMODARDAS MODI CAN.....

RUSSIA stopped War for 6 hrs for INDIA,…"
164,2022-03-04 03:52:13+00:00,gahlotshagufta,False,"RT @PAPA__Tweets: In the name of High LEVEL Meeting, Narendra Modi is Busy in Photoshoot and Fooling the NATION.

https://t.co/lzwOFKpjhL h…"
165,2022-03-04 03:52:07+00:00,M_A_N_U_74,False,"RT @POTUS: I met with my fellow Quad leaders Prime Minister Scott Morrison, Prime Minister Narendra Modi, and Prime Minister Kishida Fumio…"
166,2022-03-04 03:51:51+00:00,PankajM66356513,False,RT @AabidHussainK10: Prime Minister Narendra Modi Ji @narendramodi interacted with students of Uttar Pradesh who were recently evacuated fr…
167,2022-03-04 03:51:46+00:00,DalipPancholi,False,"Listen to this....

We shouldn't lose Narendra Modi Ji as our Prime Minister, what a gem he is.❤
https://t.co/3HkD9G5N3P"
168,2022-03-04 03:51:44+00:00,srmoquim,False,"RT @yippeekiyay_dk: Good morning

Daily reminder : Sanghis are NOT Hindus. Narendra Modi is NOT India.

And evacuating Indians from the con…"
169,2022-03-04 03:51:30+00:00,davidl62648962,False,"RT @POTUS: I met with my fellow Quad leaders Prime Minister Scott Morrison, Prime Minister Narendra Modi, and Prime Minister Kishida Fumio…"
170,2022-03-04 03:51:25+00:00,bigotry_watch,False,"RT @zoo_bear: ""Just like a parent takes care of his children, in the same way the Prime Minister of India, Modi ji, like a father, is conce…"
171,2022-03-04 03:51:08+00:00,NKhurana05,False,"RT @PAPA__Tweets: In the name of High LEVEL Meeting, Narendra Modi is Busy in Photoshoot and Fooling the NATION.

https://t.co/lzwOFKpjhL h…"
172,2022-03-04 03:51:03+00:00,Bjp4Surguja,False,"RT @BJP4India: ''हम युद्ध के इस संकट में फंसे सभी भारतवासियों को स्वदेश वापस लाने के लिए दिन रात काम कर रहे हैं।

हम यह सुनिश्चित करने में…"
173,2022-03-04 03:50:58+00:00,UtisthBharat,False,"RT @HariSolankiBJP: ""हम युद्ध के इस संकट में फंसे सभी भारतवासियों को स्वदेश वापस लाने के लिए दिन रात काम कर रहे हैं।

यह सुनिश्चित करने में…"
174,2022-03-04 03:50:55+00:00,malwa65,False,"RT @PAPA__Tweets: In the name of High LEVEL Meeting, Narendra Modi is Busy in Photoshoot and Fooling the NATION.

https://t.co/lzwOFKpjhL h…"
175,2022-03-04 03:50:49+00:00,PrashantDhingr5,False,"RT @risingsurbhi: Bharat Mata ki Jai
Narendra Modi 🤣🤣🤣 Election k results me btayege yaha nhi bolege 🤣🤣 https://t.co/SQl5h8jO3A"
176,2022-03-04 03:50:49+00:00,R_Lakhanpal,True,"''हम युद्ध के इस संकट में फंसे सभी भारतवासियों को स्वदेश वापस लाने के लिए दिन रात काम कर रहे हैं।

पीएम श्री… https://t.co/9XVSHFQNhD"
177,2022-03-04 03:50:48+00:00,SAHILTH82390939,False,"RT @ANI: Prime Minister Narendra Modi will participate along with US President Joe Biden, Australian PM Scott Morrison, and Japanese PM Fum…"
178,2022-03-04 03:50:45+00:00,KritiSr28644713,False,"RT @ANI: Prime Minister Narendra Modi participated today at a virtual summit of Quad leaders, along with US President Joe Biden, Australian…"
179,2022-03-04 03:50:34+00:00,Tinyhunterme,False,"RT @PAPA__Tweets: In the name of High LEVEL Meeting, Narendra Modi is Busy in Photoshoot and Fooling the NATION.

https://t.co/lzwOFKpjhL h…"
180,2022-03-04 03:50:24+00:00,tjose66,False,"RT @PAPA__Tweets: In the name of High LEVEL Meeting, Narendra Modi is Busy in Photoshoot and Fooling the NATION.

https://t.co/lzwOFKpjhL h…"
181,2022-03-04 03:50:21+00:00,menaobi_t,False,"UGC net result 202-21 needed 12% since it merged two exams ,after announcing 12% ugc net cheat is with only 6%intak… https://t.co/TZRqC6h3J6"
182,2022-03-04 03:50:16+00:00,HappaNarinder,False,"RT @ANI: Prime Minister Narendra Modi participated today at a virtual summit of Quad leaders, along with US President Joe Biden, Australian…"
183,2022-03-04 03:50:06+00:00,TheQuint,True,"RT @AdityaMenon22: There are 6 different aspects in the last phases of polling in Uttar Pradesh

https://t.co/ZR2zbQ6VzH"
184,2022-03-04 03:50:02+00:00,Dayawan_1156,False,"RT @PAPA__Tweets: In the name of High LEVEL Meeting, Narendra Modi is Busy in Photoshoot and Fooling the NATION.

https://t.co/lzwOFKpjhL h…"
185,2022-03-04 03:49:56+00:00,BSChoudhury2,False,"RT @gssjodhpur: हम युद्ध के इस संकट में फंसे सभी भारतवासियों को स्वदेश वापस लाने के लिए दिन रात काम कर रहे हैं। 

हम यह सुनिश्चित करने में…"
186,2022-03-04 03:49:55+00:00,Bjp4Haroli,False,"''हम युद्ध के इस संकट में फंसे सभी भारतवासियों को स्वदेश वापस लाने के लिए दिन रात काम कर रहे हैं।

हम यह सुनिश्चित… https://t.co/0ORTwn76Zw"
187,2022-03-04 03:49:54+00:00,rhishi1976,False,"RT @PAPA__Tweets: In the name of High LEVEL Meeting, Narendra Modi is Busy in Photoshoot and Fooling the NATION.

https://t.co/lzwOFKpjhL h…"
188,2022-03-04 03:49:54+00:00,amirballiavi,False,"RT @PAPA__Tweets: In the name of High LEVEL Meeting, Narendra Modi is Busy in Photoshoot and Fooling the NATION.

https://t.co/lzwOFKpjhL h…"
189,2022-03-04 03:49:47+00:00,Gupta_Bihar,False,"RT @irahulharoli: ''हम युद्ध के इस संकट में फंसे सभी भारतवासियों को स्वदेश वापस लाने के लिए दिन रात काम कर रहे हैं।

हम यह सुनिश्चित करने…"
190,2022-03-04 03:49:47+00:00,ashishnh,False,"RT @t_d_h_nair: If India had become so strong and a rising power under Narendra Modi, the government would have evacuated Indian citizens f…"
191,2022-03-04 03:49:42+00:00,Abhibansode29,False,"RT @PAPA__Tweets: In the name of High LEVEL Meeting, Narendra Modi is Busy in Photoshoot and Fooling the NATION.

https://t.co/lzwOFKpjhL h…"
192,2022-03-04 03:49:42+00:00,RmnRjpt,False,"RT @irahulharoli: ''हम युद्ध के इस संकट में फंसे सभी भारतवासियों को स्वदेश वापस लाने के लिए दिन रात काम कर रहे हैं।

हम यह सुनिश्चित करने…"
193,2022-03-04 03:49:32+00:00,HappaNarinder,False,"RT @timesofindia: US President Joe Biden met with ""fellow Quad leaders PM Scott Morrison, PM Narendra Modi, and PM Kishida Fumio about Russ…"
194,2022-03-04 03:49:28+00:00,BJP_Una,False,"''हम युद्ध के इस संकट में फंसे सभी भारतवासियों को स्वदेश वापस लाने के लिए दिन रात काम कर रहे हैं।

हम यह सुनिश्चित… https://t.co/GkpFQap4j9"
195,2022-03-04 03:49:20+00:00,moinansari26,False,"RT @AishwaryVerma9: Bharat Mata ki Jai hai aur shan se bolenge lekin jabardasti
Narendra Modi zindabad nahi bolenge...
https://t.co/FdPaJwf…"
196,2022-03-04 03:49:16+00:00,BjpSujanpur,False,"''हम युद्ध के इस संकट में फंसे सभी भारतवासियों को स्वदेश वापस लाने के लिए दिन रात काम कर रहे हैं।

हम यह सुनिश्चित… https://t.co/dI16WlcQIN"
197,2022-03-04 03:49:15+00:00,farirf07,False,"RT @PAPA__Tweets: In the name of High LEVEL Meeting, Narendra Modi is Busy in Photoshoot and Fooling the NATION.

https://t.co/lzwOFKpjhL h…"
198,2022-03-04 03:49:08+00:00,BJP4Ghumarwin,False,"''हम युद्ध के इस संकट में फंसे सभी भारतवासियों को स्वदेश वापस लाने के लिए दिन रात काम कर रहे हैं।

हम यह सुनिश्चित… https://t.co/F9T8H3rChd"
199,2022-03-04 03:49:06+00:00,rajeshchudasma,True,"''हम युद्ध के इस संकट में फंसे सभी भारतवासियों को स्वदेश वापस लाने के लिए दिन रात काम कर रहे हैं।

हम यह सुनिश्चित… https://t.co/ihYPXITnGg"
200,2022-03-04 03:49:06+00:00,007_Mahfooz,False,"RT @PAPA__Tweets: In the name of High LEVEL Meeting, Narendra Modi is Busy in Photoshoot and Fooling the NATION.

https://t.co/lzwOFKpjhL h…"
201,2022-03-04 03:49:04+00:00,sogho37,False,"RT @POTUS: I met with my fellow Quad leaders Prime Minister Scott Morrison, Prime Minister Narendra Modi, and Prime Minister Kishida Fumio…"
202,2022-03-04 03:48:57+00:00,irahulharoli,False,"''हम युद्ध के इस संकट में फंसे सभी भारतवासियों को स्वदेश वापस लाने के लिए दिन रात काम कर रहे हैं।

हम यह सुनिश्चित… https://t.co/iOLgu3csdV"
203,2022-03-04 03:48:50+00:00,AndrewA4101,False,"RT @POTUS: I met with my fellow Quad leaders Prime Minister Scott Morrison, Prime Minister Narendra Modi, and Prime Minister Kishida Fumio…"
204,2022-03-04 03:48:47+00:00,_1992_S_,False,"RT @AishwaryVerma9: Bharat Mata ki Jai hai aur shan se bolenge lekin jabardasti
Narendra Modi zindabad nahi bolenge...
https://t.co/FdPaJwf…"
